Name,Sex,Team,NOC,Year,City,Type,Sport,Event,Medal,Sport ID,Type.1
Richard Jr.,M,United States,USA,1976,Montreal,Water Sports,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,61,Water Sports
Georgia (-gilson),F,United States,USA,1928,Amsterdam,Water Sports,Diving,Diving Women's Springboard,Bronze,29,Water Sports
Georgia (-gilson),F,United States,USA,1928,Amsterdam,Water Sports,Diving,Diving Women's Platform,Silver,29,Water Sports
Georgia (-gilson),F,United States,USA,1932,Los Angeles,Water Sports,Diving,Diving Women's Springboard,Gold,29,Water Sports
Georgia (-gilson),F,United States,USA,1932,Los Angeles,Water Sports,Diving,Diving Women's Platform,Silver,29,Water Sports
Robert Coleman,M,Ancora,GBR,1920,Antwerpen,Other Traditional Sports,Sailing,Sailing Mixed 7 metres,Gold,55,Other Traditional Sports
Antonius Colenbrander,M,Netherlands,NED,1924,Paris,Equestrian,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,31,Equestrian
Geoffrey Coles,M,Great Britain,GBR,1908,London,Weapon Sports,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Bronze,56,Weapon Sports
Meredith Colket,M,United States,USA,1900,Paris,Athletics,Athletics,Athletics Men's Pole Vault,Silver,7,Athletics
Theodore Collet,M,Great Britain,GBR,1928,Amsterdam,Water Sports,Rowing,Rowing Men's Single Sculls,Bronze,52,Water Sports
Wayne Collett,M,United States,USA,1972,Munich,Athletics,Athletics,Athletics Men's 400 metres,Silver,7,Athletics
Jeanne (-sitzberger),F,United States,USA,1964,Tokyo,Water Sports,Diving,Diving Women's Springboard,Silver,29,Water Sports
John Collier,M,United States,USA,1928,Amsterdam,Athletics,Athletics,Athletics Men's 110 metres Hurdles,Bronze,7,Athletics
Albric Collin,M,Belgium,BEL,1920,Antwerpen,Artistic Sports,Art Competitions,Art Competitions Mixed Sculpturing,Gold,4,Artistic Sports
Andrea Collinelli,M,Italy,ITA,1996,Atlanta,Cycling Sports,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold,20,Cycling Sports
Ross Collinge,M,New Zealand,NZL,1972,Munich,Water Sports,Rowing,Rowing Men's Coxless Fours,Silver,52,Water Sports
Maria Collino,F,Italy,ITA,1976,Montreal,Weapon Sports,Fencing,"Fencing Women's Foil, Individual",Silver,32,Weapon Sports
Christine Collins,F,United States,USA,2000,Sydney,Water Sports,Rowing,Rowing Women's Lightweight Double Sculls,Bronze,52,Water Sports
Daniel Collins,M,Australia,AUS,1996,Atlanta,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,17,Water Sports
Daniel Collins,M,Australia,AUS,2000,Sydney,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,17,Water Sports
Carlos Nicols,M,Spain,ESP,2016,Rio de Janeiro,Cycling Sports,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze,20,Cycling Sports
Jrgen Colombo,M,West Germany,FRG,1972,Munich,Cycling Sports,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,20,Cycling Sports
Mara Ruees-salazar,F,Cuba,CUB,1980,Moskva,Athletics,Athletics,Athletics Women's Javelin Throw,Gold,7,Athletics
Alva Colquhoun,F,Australia,AUS,1960,Roma,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,61,Water Sports
Evelyn (-munro),F,Great Britain-1,GBR,1924,Paris,Racket Sports,Tennis,Tennis Women's Doubles,Bronze,65,Racket Sports
Nadia (-conner),F,Romania,ROU,1976,Montreal,Gymnastics,Gymnastics,Gymnastics Women's Individual All-Around,Gold,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1976,Montreal,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Silver,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1976,Montreal,Gymnastics,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1976,Montreal,Gymnastics,Gymnastics,Gymnastics Women's Uneven Bars,Gold,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1976,Montreal,Gymnastics,Gymnastics,Gymnastics Women's Balance Beam,Gold,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics,Gymnastics Women's Individual All-Around,Silver,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics,Gymnastics Women's Team All-Around,Silver,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics,Gymnastics Women's Floor Exercise,Gold,36,Gymnastics
Nadia (-conner),F,Romania,ROU,1980,Moskva,Gymnastics,Gymnastics,Gymnastics Women's Balance Beam,Gold,36,Gymnastics
Robson Conceio,M,Brazil,BRA,2016,Rio de Janeiro,Combat Sports,Boxing,Boxing Men's Lightweight,Gold,13,Combat Sports
John Condon,M,Great Britain,GBR,1908,London,Combat Sports,Boxing,Boxing Men's Bantamweight,Silver,13,Combat Sports
Carin (-vanderbush),F,United States,USA,1956,Melbourne,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Silver,61,Water Sports
Malcolm Cone,M,Canada,CAN,2008,Beijing,Equestrian,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,31,Equestrian
Gary Conelly,M,United States,USA,1972,Munich,Water Sports,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
Cong Xuedi,F,China,CHN,1992,Barcelona,Team Ball Sports,Basketball,Basketball Women's Basketball,Silver,10,Team Ball Sports
Michael Conlan,M,Ireland,IRL,2012,London,Combat Sports,Boxing,Boxing Men's Flyweight,Bronze,13,Combat Sports
Michael Conley,M,United States,USA,1984,Los Angeles,Athletics,Athletics,Athletics Men's Triple Jump,Silver,7,Athletics
Michael Conley,M,United States,USA,1992,Barcelona,Athletics,Athletics,Athletics Men's Triple Jump,Gold,7,Athletics
Barthold Conner,M,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics,Gymnastics Men's Team All-Around,Gold,36,Gymnastics
Barthold Conner,M,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics,Gymnastics Men's Parallel Bars,Gold,36,Gymnastics
Dennis Conner,M,United States,USA,1976,Montreal,Other Traditional Sports,Sailing,Sailing Mixed Two Person Keelboat,Bronze,55,Other Traditional Sports
Harold Connolly,M,United States,USA,1956,Melbourne,Athletics,Athletics,Athletics Men's Hammer Throw,Gold,7,Athletics
James Connolly,M,United States,USA,1924,Paris,Athletics,Athletics,"Athletics Men's 3,000 metres, Team",Bronze,7,Athletics
James Connolly,M,United States,USA,1896,Athina,Athletics,Athletics,Athletics Men's High Jump,Silver,7,Athletics
James Connolly,M,United States,USA,1896,Athina,Athletics,Athletics,Athletics Men's Long Jump,Bronze,7,Athletics
James Connolly,M,United States,USA,1896,Athina,Athletics,Athletics,Athletics Men's Triple Jump,Gold,7,Athletics
James Connolly,M,United States,USA,1900,Paris,Athletics,Athletics,Athletics Men's Triple Jump,Silver,7,Athletics
Thomas Jr.,M,United States,USA,1932,Los Angeles,Gymnastics,Gymnastics,Gymnastics Men's Rope Climbing,Bronze,36,Gymnastics
Richard Connor,M,United States,USA,1956,Melbourne,Water Sports,Diving,Diving Men's Platform,Bronze,29,Water Sports
Keith Connor,M,Great Britain,GBR,1984,Los Angeles,Athletics,Athletics,Athletics Men's Triple Jump,Bronze,7,Athletics
Lars Conrad,M,Germany,GER,2004,Athina,Water Sports,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,61,Water Sports
Reinaldo Conrad,M,Brazil,BRA,1968,Mexico City,Other Traditional Sports,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,55,Other Traditional Sports
Reinaldo Conrad,M,Brazil,BRA,1976,Montreal,Other Traditional Sports,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,55,Other Traditional Sports
Adolfo Consolini,M,Italy,ITA,1948,London,Athletics,Athletics,Athletics Men's Discus Throw,Gold,7,Athletics
Adolfo Consolini,M,Italy,ITA,1952,Helsinki,Athletics,Athletics,Athletics Men's Discus Throw,Silver,7,Athletics
Eugne Constant,M,France,FRA,1924,Paris,Water Sports,Rowing,Rowing Men's Coxed Fours,Silver,52,Water Sports
Antonio Conte,M,Italy,ITA,1900,Paris,Weapon Sports,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold,32,Weapon Sports
Javier Conte,M,Argentina,ARG,2000,Sydney,Other Traditional Sports,Sailing,Sailing Men's Two Person Dinghy,Bronze,55,Other Traditional Sports
Dalia Rivero,F,Venezuela,VEN,2008,Beijing,Combat Sports,Taekwondo,Taekwondo Women's Flyweight,Bronze,64,Combat Sports
Hollis Conway,M,United States,USA,1988,Seoul,Athletics,Athletics,Athletics Men's High Jump,Silver,7,Athletics
Hollis Conway,M,United States,USA,1992,Barcelona,Athletics,Athletics,Athletics Men's High Jump,Bronze,7,Athletics
Sally Conway,F,Great Britain,GBR,2016,Rio de Janeiro,Combat Sports,Judo,Judo Women's Middleweight,Bronze,41,Combat Sports
Edward Coode,M,Great Britain,GBR,2004,Athina,Water Sports,Rowing,Rowing Men's Coxless Fours,Gold,52,Water Sports
Arthur Cook,M,United States,USA,1948,London,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,56,Weapon Sports
Edward Jr.,M,United States,USA,1908,London,Athletics,Athletics,Athletics Men's Pole Vault,Gold,7,Athletics
Natalie Cook,F,Australia-1,AUS,1996,Atlanta,Team Ball Sports,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,12,Team Ball Sports
Natalie Cook,F,Australia-1,AUS,2000,Sydney,Team Ball Sports,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold,12,Team Ball Sports
Stephanie Cook,F,Great Britain,GBR,2000,Sydney,Other Traditional Sports,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold,46,Other Traditional Sports
Theodore Cook,M,Great Britain,GBR,1920,Antwerpen,Artistic Sports,Art Competitions,Art Competitions Mixed Literature,Silver,4,Artistic Sports
Althea (gifford-),F,Great Britain,GBR,2008,Beijing,Equestrian,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze,31,Equestrian
Althea (gifford-),F,Great Britain,GBR,2008,Beijing,Equestrian,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,31,Equestrian
Althea (gifford-),F,Great Britain,GBR,2012,London,Equestrian,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,31,Equestrian
Cecil Cooke,M,Gem,BAH,1964,Tokyo,Other Traditional Sports,Sailing,Sailing Mixed Two Person Keelboat,Gold,55,Other Traditional Sports
Emma Cooke,F,United States,USA,1904,St. Louis,Weapon Sports,Archery,Archery Women's Double Columbia Round,Silver,3,Weapon Sports
Emma Cooke,F,United States,USA,1904,St. Louis,Weapon Sports,Archery,Archery Women's Double National Round,Silver,3,Weapon Sports
Nicole Cooke,F,Great Britain,GBR,2008,Beijing,Cycling Sports,Cycling,"Cycling Women's Road Race, Individual",Gold,20,Cycling Sports
Andrew Cooper,M,Australia,AUS,1992,Barcelona,Water Sports,Rowing,Rowing Men's Coxless Fours,Gold,52,Water Sports
Bradford Cooper,M,Australia,AUS,1972,Munich,Water Sports,Swimming,Swimming Men's 400 metres Freestyle,Gold,61,Water Sports
Charlotte (-sterry),F,Great Britain,GBR,1900,Paris,Racket Sports,Tennis,Tennis Women's Singles,Gold,65,Racket Sports
Charlotte (-sterry),F,Great Britain,GBR,1900,Paris,Racket Sports,Tennis,Tennis Mixed Doubles,Gold,65,Racket Sports
John Cooper,M,Great Britain,GBR,1964,Tokyo,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Silver,7,Athletics
Margaret (-badcock),F,Great Britain,GBR,1928,Amsterdam,Water Sports,Swimming,Swimming Women's 100 metres Freestyle,Bronze,61,Water Sports
Margaret (-badcock),F,Great Britain,GBR,1928,Amsterdam,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,61,Water Sports
Margaret (-badcock),F,Great Britain,GBR,1928,Amsterdam,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Bronze,61,Water Sports
Margaret (-badcock),F,Great Britain,GBR,1932,Los Angeles,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Malcolm Cooper,M,Great Britain,GBR,1984,Los Angeles,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,56,Weapon Sports
Malcolm Cooper,M,Great Britain,GBR,1988,Seoul,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,56,Weapon Sports
Iztok Op,M,Slovenia,SLO,1992,Barcelona,Water Sports,Rowing,Rowing Men's Coxless Pairs,Bronze,52,Water Sports
Iztok Op,M,Slovenia,SLO,2000,Sydney,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Iztok Op,M,Slovenia,SLO,2004,Athina,Water Sports,Rowing,Rowing Men's Double Sculls,Silver,52,Water Sports
Iztok Op,M,Slovenia,SLO,2012,London,Water Sports,Rowing,Rowing Men's Double Sculls,Bronze,52,Water Sports
Katherine Copeland,F,Great Britain,GBR,2012,London,Water Sports,Rowing,Rowing Women's Lightweight Double Sculls,Gold,52,Water Sports
Lillian (drossin-),F,United States,USA,1928,Amsterdam,Athletics,Athletics,Athletics Women's Discus Throw,Silver,7,Athletics
Lillian (drossin-),F,United States,USA,1932,Los Angeles,Athletics,Athletics,Athletics Women's Discus Throw,Gold,7,Athletics
Alfredo Copello,M,Argentina,ARG,1924,Paris,Combat Sports,Boxing,Boxing Men's Lightweight,Silver,13,Combat Sports
Yasmani Escobar,M,Turkey,TUR,2016,Rio de Janeiro,Athletics,Athletics,Athletics Men's 400 metres Hurdles,Bronze,7,Athletics
John (williamson-),M,Great Britain,GBR,1948,London,Artistic Sports,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver,4,Artistic Sports
Henri Copponex,M,Ballerina IV,SUI,1960,Roma,Other Traditional Sports,Sailing,Sailing Mixed 5.5 metres,Bronze,55,Other Traditional Sports
Bryan Coquard,M,France,FRA,2012,London,Cycling Sports,Cycling,Cycling Men's Omnium,Silver,20,Cycling Sports
Henri Lisle,M,France,FRA,1924,Paris,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,56,Weapon Sports
Josip Orak,M,Yugoslavia,YUG,1972,Munich,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,73,Combat Sports
Edera Cordiale-gentile,F,Italy,ITA,1948,London,Athletics,Athletics,Athletics Women's Discus Throw,Silver,7,Athletics
Eugne Cordonnier,M,France,FRA,1924,Paris,Gymnastics,Gymnastics,Gymnastics Men's Team All-Around,Silver,36,Gymnastics
Louis Corey,M,France,FRA,1904,St. Louis,Athletics,Athletics,Athletics Men's Marathon,Silver,7,Athletics
Louis Corey,M,Chicago Athletic Association,FRA,1904,St. Louis,Athletics,Athletics,"Athletics Men's 4 mile, Team",Silver,7,Athletics
Giancarlo Peterbelli,M,Italy,ITA,1932,Los Angeles,Weapon Sports,Fencing,"Fencing Men's epee, Individual",Gold,32,Weapon Sports
Giancarlo Peterbelli,M,Italy,ITA,1936,Berlin,Weapon Sports,Fencing,"Fencing Men's epee, Individual",Bronze,32,Weapon Sports
Hendrik Cornelisse,M,Netherlands,NED,1964,Tokyo,Cycling Sports,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,20,Cycling Sports
Monique Cornelissen,F,Netherlands,NED,2012,London,Equestrian,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,31,Equestrian
Monique Cornelissen,F,Netherlands,NED,2012,London,Equestrian,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,31,Equestrian
John Cornes,M,Great Britain,GBR,1932,Los Angeles,Athletics,Athletics,"Athletics Men's 1,500 metres",Silver,7,Athletics
George Cornet,M,Great Britain,GBR,1908,London,Team Ball Sports,Water Polo,Water Polo Men's Water Polo,Gold,71,Team Ball Sports
Lynda Cornet,F,Netherlands,NED,1984,Los Angeles,Water Sports,Rowing,Rowing Women's Coxed Eights,Bronze,52,Water Sports
Alessandro Corona,M,Italy,ITA,1992,Barcelona,Water Sports,Rowing,Rowing Men's Quadruple Sculls,Bronze,52,Water Sports
Emilio Vaillant,M,Cuba,CUB,1972,Munich,Combat Sports,Boxing,Boxing Men's Welterweight,Gold,13,Combat Sports
Emilio Bayeaux,M,Cuba,CUB,2008,Beijing,Combat Sports,Boxing,Boxing Men's Middleweight,Silver,13,Combat Sports
Alex Verdegay,M,Spain,ESP,2000,Sydney,Racket Sports,Tennis,Tennis Men's Doubles,Bronze,65,Racket Sports
Marie (-mortell),F,United States,USA,1948,London,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
James Corson,M,United States,USA,1928,Amsterdam,Athletics,Athletics,Athletics Men's Discus Throw,Bronze,7,Athletics
Marilyn (-whitney),F,Canada,CAN,1968,Mexico City,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Hlne Cortin,F,France,FRA,1996,Atlanta,Water Sports,Rowing,Rowing Women's Coxless Pairs,Bronze,52,Water Sports
Richard Corts,M,Germany,GER,1928,Amsterdam,Athletics,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,7,Athletics
Kreimir Osi,M,Yugoslavia,YUG,1976,Montreal,Team Ball Sports,Basketball,Basketball Men's Basketball,Silver,10,Team Ball Sports
Kreimir Osi,M,Yugoslavia,YUG,1980,Moskva,Team Ball Sports,Basketball,Basketball Men's Basketball,Gold,10,Team Ball Sports
Francesco Cossu,M,Italy,ITA,1932,Los Angeles,Water Sports,Rowing,Rowing Men's Coxless Fours,Bronze,52,Water Sports
mile Coste,M,France,FRA,1900,Paris,Weapon Sports,Fencing,"Fencing Men's Foil, Individual",Gold,32,Weapon Sports
Bernard Jr.,M,United States,USA,1956,Melbourne,Water Sports,Rowing,Rowing Men's Double Sculls,Silver,52,Water Sports
Paul Costello,M,United States,USA,1920,Antwerpen,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Paul Costello,M,United States,USA,1924,Paris,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Paul Costello,M,United States,USA,1928,Amsterdam,Water Sports,Rowing,Rowing Men's Double Sculls,Gold,52,Water Sports
Daniela Costian,F,Australia,AUS,1992,Barcelona,Athletics,Athletics,Athletics Women's Discus Throw,Bronze,7,Athletics
Candace -merrill),F,United States,USA,1984,Los Angeles,Artistic Sports,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,62,Artistic Sports
Aubert Ct,M,Canada,CAN,1908,London,Combat Sports,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze,73,Combat Sports
Paul Ii,M,Canada,CAN,1972,Munich,Other Traditional Sports,Sailing,Sailing Mixed Three Person Keelboat,Bronze,55,Other Traditional Sports
William Cottrill,M,Great Britain,GBR,1912,Stockholm,Athletics,Athletics,"Athletics Men's 3,000 metres, Team",Bronze,7,Athletics
William Cottrill,M,Great Britain,GBR,1912,Stockholm,Athletics,Athletics,"Athletics Men's Cross-Country, Team",Bronze,7,Athletics
Natalie (-hall),F,United States,USA,2004,Athina,Water Sports,Swimming,Swimming Women's 100 metres Freestyle,Bronze,61,Water Sports
Natalie (-hall),F,United States,USA,2004,Athina,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Gold,61,Water Sports
Natalie (-hall),F,United States,USA,2008,Beijing,Water Sports,Swimming,Swimming Women's 100 metres Freestyle,Bronze,61,Water Sports
Natalie (-hall),F,United States,USA,2008,Beijing,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,61,Water Sports
Natalie (-hall),F,United States,USA,2008,Beijing,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Gold,61,Water Sports
Natalie (-hall),F,United States,USA,2008,Beijing,Water Sports,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,61,Water Sports
Natalie (-hall),F,United States,USA,2012,London,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,61,Water Sports
Raymond Coulter,M,United States,USA,1924,Paris,Weapon Sports,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Gold,56,Weapon Sports
Andr Coumans,M,Belgium,BEL,1920,Antwerpen,Equestrian,Equestrianism,"Equestrianism Men's Jumping, Team",Silver,31,Equestrian
Charles Courant,M,Switzerland,SUI,1920,Antwerpen,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,73,Combat Sports
Charles Courant,M,Switzerland,SUI,1924,Paris,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,73,Combat Sports
Jacques Courtillat,M,France,FRA,1964,Tokyo,Weapon Sports,Fencing,"Fencing Men's Foil, Team",Bronze,32,Weapon Sports
Percy Courtman,M,Great Britain,GBR,1912,Stockholm,Water Sports,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,61,Water Sports
Thomas Courtney,M,United States,USA,1956,Melbourne,Athletics,Athletics,Athletics Men's 800 metres,Gold,7,Athletics
Thomas Courtney,M,United States,USA,1956,Melbourne,Athletics,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,7,Athletics
Alicia Coutts,F,Australia,AUS,2012,London,Water Sports,Swimming,Swimming Women's 100 metres Butterfly,Bronze,61,Water Sports
Alicia Coutts,F,Australia,AUS,2012,London,Water Sports,Swimming,Swimming Women's 200 metres Individual Medley,Silver,61,Water Sports
Alicia Coutts,F,Australia,AUS,2012,London,Water Sports,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,61,Water Sports
Russell Coutts,M,New Zealand,NZL,1984,Los Angeles,Other Traditional Sports,Sailing,Sailing Mixed One Person Dinghy,Gold,55,Other Traditional Sports
Alberto Cova,M,Italy,ITA,1984,Los Angeles,Athletics,Athletics,"Athletics Men's 10,000 metres",Gold,7,Athletics
Serghei Covaliov,M,Romania,ROU,1968,Mexico City,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,17,Water Sports
Serghei Covaliov,M,Romania,ROU,1972,Munich,Water Sports,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver,17,Water Sports
Mihai Covaliu,M,Romania,ROU,2000,Sydney,Weapon Sports,Fencing,"Fencing Men's Sabre, Individual",Gold,32,Weapon Sports
Mihai Covaliu,M,Romania,ROU,2008,Beijing,Weapon Sports,Fencing,"Fencing Men's Sabre, Individual",Bronze,32,Weapon Sports
Mark Covell,M,Great Britain,GBR,2000,Sydney,Other Traditional Sports,Sailing,Sailing Mixed Two Person Keelboat,Silver,55,Other Traditional Sports
Phyllis (howkins-),F,Great Britain-2,GBR,1924,Paris,Racket Sports,Tennis,Tennis Women's Doubles,Silver,65,Racket Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2004,Athina,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Silver,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2004,Athina,Water Sports,Swimming,Swimming Women's 200 metres Backstroke,Gold,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2004,Athina,Water Sports,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2008,Beijing,Water Sports,Swimming,Swimming Women's 100 metres Backstroke,Silver,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2008,Beijing,Water Sports,Swimming,Swimming Women's 200 metres Backstroke,Gold,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2008,Beijing,Water Sports,Swimming,Swimming Women's 200 metres Individual Medley,Silver,61,Water Sports
Kirsty (-seward),F,Zimbabwe,ZIM,2008,Beijing,Water Sports,Swimming,Swimming Women's 400 metres Individual Medley,Silver,61,Water Sports
Patrick Cowdell,M,Great Britain,GBR,1976,Montreal,Combat Sports,Boxing,Boxing Men's Bantamweight,Bronze,13,Combat Sports
Robert Cowell,M,United States,USA,1948,London,Water Sports,Swimming,Swimming Men's 100 metres Backstroke,Silver,61,Water Sports
Donald Cowie,M,New Zealand,NZL,1992,Barcelona,Other Traditional Sports,Sailing,Sailing Mixed Two Person Keelboat,Silver,55,Other Traditional Sports
Alison Cox,F,United States,USA,2004,Athina,Water Sports,Rowing,Rowing Women's Coxed Eights,Silver,52,Water Sports
J'den Cox,M,United States,USA,2016,Rio de Janeiro,Combat Sports,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,73,Combat Sports
Lionel Cox,M,Australia,AUS,1952,Helsinki,Cycling Sports,Cycling,Cycling Men's Sprint,Silver,20,Cycling Sports
Lionel Cox,M,Australia,AUS,1952,Helsinki,Cycling Sports,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,20,Cycling Sports
Lionel Cox,M,Belgium,BEL,2012,London,Weapon Sports,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,56,Weapon Sports
Annemarie Cox-wood,F,Netherlands,NED,1988,Seoul,Water Sports,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,17,Water Sports
Clarence Jr.,M,United States,USA,1928,Amsterdam,Water Sports,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,61,Water Sports
Clarence Jr.,M,United States,USA,1932,Los Angeles,Water Sports,Swimming,Swimming Men's 400 metres Freestyle,Gold,61,Water Sports
James Cracknell,M,Great Britain,GBR,2000,Sydney,Water Sports,Rowing,Rowing Men's Coxless Fours,Gold,52,Water Sports
Brian Crago,M,Australia,AUS,1960,Roma,Equestrian,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,31,Equestrian
Marion (-eaton),F,Canada,CAN,1984,Los Angeles,Water Sports,Rowing,Rowing Women's Coxless Pairs,Silver,52,Water Sports
Ralph Craig,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's 100 metres,Gold,7,Athletics
Ralph Craig,M,United States,USA,1912,Stockholm,Athletics,Athletics,Athletics Men's 200 metres,Gold,7,Athletics
Stephen Cram,M,Great Britain,GBR,1984,Los Angeles,Athletics,Athletics,"Athletics Men's 1,500 metres",Silver,7,Athletics
George (-scott),M,Sweden,SWE,1988,Seoul,Combat Sports,Boxing,Boxing Men's Lightweight,Silver,13,Combat Sports
Lorraine (-thurlow),F,Australia,AUS,1956,Melbourne,Water Sports,Swimming,Swimming Women's 100 metres Freestyle,Silver,61,Water Sports
Lorraine (-thurlow),F,Australia,AUS,1956,Melbourne,Water Sports,Swimming,Swimming Women's 400 metres Freestyle,Gold,61,Water Sports
Lorraine (-thurlow),F,Australia,AUS,1956,Melbourne,Water Sports,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,61,Water Sports
Sal Rivero,M,Spain,ESP,2008,Beijing,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold,17,Water Sports
Sal Rivero,M,Spain,ESP,2012,London,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver,17,Water Sports
Sal Rivero,M,Spain,ESP,2016,Rio de Janeiro,Water Sports,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze,17,Water Sports
Sal Rivero,M,Spain,ESP,2016,Rio de Janeiro,Water Sports,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold,17,Water Sports
Dean Crawford,M,Canada,CAN,1984,Los Angeles,Water Sports,Rowing,Rowing Men's Coxed Eights,Gold,52,Water Sports
